city,country,date,cloudiness,humidity,latitude,longitude,temperature,wind speed
São Filipe,CV,1586388671,0,61,14.9,-24.5,77.29,14.07
Rikitea,PF,1586388671,80,80,-23.12,-134.97,76.62,9.46
Broken Hill,AU,1586388670,0,67,-31.95,141.43,57.2,8.05
Tuktoyaktuk,CA,1586388672,20,72,69.45,-133.04,10.4,10.29
Bathsheba,BB,1586388672,40,69,13.22,-59.52,80.6,12.75
Tasiilaq,GL,1586388672,2,73,65.61,-37.64,24.8,6.93
Vágur,FO,1586388672,4,70,61.47,-6.81,40.26,6.29
Deputatsky,RU,1586388672,29,88,69.3,139.9,6.28,3.56
Vostok,RU,1586388392,99,61,46.49,135.88,32.49,2.37
Tokomaru,NZ,1586388672,63,69,-40.47,175.5,59.41,4.0
Njombe,TZ,1586388672,97,58,-9.33,34.77,58.35,4.29
Busselton,AU,1586388673,24,45,-33.65,115.33,65.64,7.72
Kavieng,PG,1586388673,9,73,-2.57,150.8,83.53,3.83
Amahai,ID,1586388673,71,69,-3.33,128.92,82.35,6.93
George Town,MY,1586388673,20,100,5.41,100.34,78.4,2.24
Botelhos,BR,1586388673,7,72,-21.63,-46.4,63.1,3.15
Derbent,RU,1586388673,0,64,42.07,48.29,42.1,4.59
Nikolskoye,RU,1586388674,100,68,59.7,30.79,43.29,8.95
Tari,NG,1586388674,42,31,12.41,4.49,87.85,9.26
Cascais,PT,1586388419,20,82,38.7,-9.42,60.62,5.82
Cherskiy,RU,1586388674,55,92,68.75,161.3,-0.29,13.15
Codrington,AU,1586388674,6,75,-38.27,141.97,60.31,9.17
Mahébourg,MU,1586388674,40,83,-20.41,57.7,78.87,8.05
Mataura,NZ,1586388624,100,88,-46.19,168.86,53.01,15.01
Hermanus,ZA,1586388615,6,79,-34.42,19.23,59.0,5.99
Malakal,SS,1586388675,71,36,9.53,31.66,85.33,4.92
Chokurdakh,RU,1586388675,54,91,70.63,147.92,-6.16,7.65
Hastings,GB,1586388675,0,100,50.86,0.57,50.27,5.82
Punta Arenas,CL,1586388476,32,58,-53.15,-70.92,56.59,10.29
Norman Wells,CA,1586388675,90,46,65.28,-126.83,30.2,17.22
Katherine,AU,1586388675,99,94,-14.47,132.27,73.4,5.82
Jamestown,US,1586388652,1,62,42.1,-79.24,52.83,10.29
Hobart,AU,1586388456,11,71,-42.88,147.33,51.13,8.05
Gonder,ET,1586388676,27,18,12.6,37.47,65.37,6.06
Olafsvik,IS,1586388676,80,85,64.89,-23.71,34.2,9.42
Longyearbyen,SJ,1586388676,20,69,78.22,15.64,-7.6,3.36
Mil'kovo,RU,1586388676,99,91,54.72,158.62,28.6,1.57
Saint Anthony,US,1586388676,20,29,45.02,-93.22,49.71,18.34
Ribeira Grande,PT,1586388624,6,84,38.52,-28.7,60.71,8.16
Port Alfred,ZA,1586388662,85,71,-33.59,26.89,64.02,18.79
Kalasin,TH,1586388677,70,83,16.5,103.5,73.4,8.05
Padang,ID,1586388600,79,73,-0.95,100.35,78.31,4.59
Durban,ZA,1586388532,20,82,-29.86,31.03,61.48,4.7
Faanui,PF,1586388677,84,73,-16.48,-151.75,83.7,12.71
